,number,location
204,1326,2.7992070526404436
205,1327,2.7984794026900035
206,1328,4.665041140812107
207,1329,2.7985086861559654
208,1330,2.7991033763999575
209,1331,2.7985543129168136
210,1332,3.7170005397286756
211,1333,3.7109463799028983
212,1334,2.784997992919297
213,1335,3.714306632018434
214,1336,5.573008414486486
215,1337,1.8569675030394448
216,1338,0.9290169442909744
217,1339,0.9281712454254294
218,1340,2.786365371961396
219,1341,2.785641060140141
220,1342,4.643639734051419
221,1343,2.7856702092681176
222,1344,2.7862621713409457
223,1345,2.785715626713797
224,1346,3.699948377039175
225,1347,3.6939219913299275
226,1348,2.7722214979063886
227,1349,3.6972668279087806
228,1350,5.547441604586286
229,1351,1.8484484534182761
230,1352,0.9247549734131899
231,1353,0.9239131542682526
232,1354,2.7735826039366818
233,1355,2.772861614961867
234,1356,4.622336508664248
235,1357,2.7728906303660206
236,1358,2.7734798767585764
237,1359,2.772935839454961
238,1360,3.6829744430750466
239,1361,3.676975704085223
240,1362,2.7595036165085753
241,1363,3.680305195846574
242,1364,5.521992085326597
243,1365,1.8399684859131291
244,1366,0.9205125548050055
245,1367,0.9196745975945588
246,1368,2.760858478308458
247,1369,2.7601407969469163
248,1370,4.601131014241527
249,1371,2.7601696792399872
250,1372,2.7607562224021946
251,1373,2.76021468092742
252,1374,3.6660783789598623
253,1375,3.6601071598638084
254,1376,2.7468440798350233
255,1377,3.6634213772032895
256,1378,5.496659318628243
257,1379,1.8315274212257417
258,1380,0.9162895987724318
259,1381,0.9154554857837246
260,1382,2.7481927260517285
261,1383,2.7474783371331104
262,1384,4.580022802434489
263,1385,2.747507086925509
264,1386,2.7480909392557997
265,1387,2.7475518821626963
266,1388,3.6492598274591552
267,1389,3.643316002008573
268,1390,2.734242620224667
269,1391,3.646615014999172
270,1392,5.47144276887728
271,1393,1.8231250808834307
272,1394,0.9120860160301574
273,1395,0.9112557296288705
274,1396,2.7355850793732728
